nome_normalizado,ordem_pessoa,estado,diario,data_publicacao,ano,tipo_ato,nome,nome_original_csv,spacy_pessoa,spacy_entidades,cargo,orgao,caderno,fonte_url,arquivo_markdown,arquivo_csv,linha_csv,ato_anterior,data_anterior,cargo_anterior,orgao_anterior,dias_desde_anterior,retorno_apos_exoneracao,data_exoneracao_anterior,cargo_exoneracao_anterior,orgao_exoneracao_anterior,dias_desde_exoneracao,mudou_cargo_desde_exoneracao,mudou_orgao_desde_exoneracao,marco_governo,data_marco_governo,dias_desde_marco_governo
JANINE DA SILVA DE PAIVA BRITO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-09-12,2025,nomeacao,JANINE DA SILVA DE PAIVA BRITO,JANINE DA SILVA DE PAIVA BRITO,sim,JANINE DA SILVA:MISC|Janine Da Silva:PER,para exercer o cargo em comissão de Adjunto II,do Instituto Estadual do Ambiente - INEA,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwR1IwOVZVVE5QUkdOMFRYcFZOVTFETURCU2FrMDFURlJyZUZKRlVYUlJWVkV5VWxSQ1JGSnJVVFZTVkdkNFRWUmpNMDU2VlhoT1JFMHpUVUU5UFE9PQ==,LAKE\RJ\2025\09\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-09-12.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,2998,,,,,,nao,,,,,,,,,
JANINE DA SILVA MELO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-04-04,2025,nomeacao,JANINE DA SILVA MELO,JANINE DA SILVA MELO,sim,JANINE DA SILVA MELO:MISC|Janine Da Silva Melo:PER,para exercer o cargo em comis- são de Assistente II,do Departamento de Recursos Minerais - DRM-RJ,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDBSV1IwMXFaek5QUkd0MFRsUk5lazE1TURCUmEwbDRURlJuTUUxVlNYUk5WRVpEVWxSRk0wNUVhM2xSVkZGNVRWUmpNMDU2VlhoT2FsRjZUa0U5UFE9PQ==,LAKE\RJ\2025\04\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-04-04.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,6894,,,,,,nao,,,,,,,,,
JANINE DA SILVA MELO,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2026-02-09,2026,exoneracao,JANINE DA SILVA MELO,JANINE DA SILVA MELO,sim,JANINE DA SILVA MELO:MISC|Janine Da Silva Melo:PER,do cargo em comissão de Assistente II,do Departamento de Recursos Minerais - DRM,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFhwVk1rNUZWWGxSZWtsMFRXdEtSazVETURCT1JHTjNURlZLUkU5RlZYUlJla0pHVFdwSk1VMUVRVFZSZWswMVRWUmpNMDU2VlhoTmFrRjNUVkU5UFE9PQ==,LAKE\RJ\2026\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-02-09.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2026.csv,3273,nomeacao,2025-04-04,para exercer o cargo em comis- são de Assistente II,do Departamento de Recursos Minerais - DRM-RJ,311,nao,,,,,,,,,
JANINE MARIA DE SOUZA RAMOS GOMES,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-04-12,2024,nomeacao,JANINE MARIA DE SOUZA RAMOS GOMES,JANINE MARIA DE SOUZA RAMOS GOMES,sim,JANINE MARIA:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFZSamVFMXFXVE5QVlZGMFRVUm9RazlUTURCUFZVcEVURlZHUWxKVVkzUk5hbU0wVFd0RmVsSkVTVE5SYTFGNFRWUmpNMDU2VlRCT2FsVjVUV2M5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\04\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-04-12.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,6228,,,,,,nao,,,,,,,,,
JANIO MENDES DOS SANTOS JUNIOR,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-08-05,2025,nomeacao,JÂNIO MENDES DOS SANTOS JÚNIOR,JÂNIO MENDES DOS SANTOS JÚNIOR,sim,JÂNIO MENDES:PER,,do Instituto de Pe- sos e Medidas do Estado do Rio de Janeiro - IPEM/RJ,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVd0UmVsRnFWa1JPZWxGMFVWVktSbEY1TURCU1ZFMHpURlJuTlU5RlRYUk9hazVIVFhwRk5VNXFhM2xQUkZreVRWUmpNMDU2VlhoT1JHdDVUMEU5UFE9PQ==,LAKE\RJ\2025\08\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-08-05.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,4201,,,,,,nao,,,,,,,,,
JANKEL GRUBMAN VOTO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-05-28,2024,exoneracao,JANKEL GRUBMAN VOTO,JANKEL GRUBMAN VOTO,sim,JANKEL GRUBMAN VOTO:MISC|Jankel Grubman Voto:PER,do cargo em comissão de Superintendente,da Subsecretaria de Estado de Defesa Civil,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFd0R1JrMHdVa0pQUkZWMFRucG5OVTVUTURCUmVtY3pURlJyTTA1RVkzUk5hbU0xVDFSck1sSkZWVEJTYW14RlRWUmpNMDU2VlhsTmFsVjVUV2M5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-05-28.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,4918,,,,,,nao,,,,,,,,,
JANKEL GRUBMAN VOTO,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-05-28,2024,nomeacao,JANKEL GRUBMAN VOTO,JANKEL GRUBMAN VOTO,sim,JANKEL GRUBMAN VOTO:MISC|Jankel Grubman Voto:PER,,da Subsecretaria de Estado de Defesa Civil,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFd0R1JrMHdVa0pQUkZWMFRucG5OVTVUTURCUmVtY3pURlJyTTA1RVkzUk5hbU0xVDFSck1sSkZWVEJTYW14RlRWUmpNMDU2VlhsTmFsVjVUV2M5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-05-28.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,4919,exoneracao,2024-05-28,do cargo em comissão de Superintendente,da Subsecretaria de Estado de Defesa Civil,0,sim,2024-05-28,do cargo em comissão de Superintendente,da Subsecretaria de Estado de Defesa Civil,0,nao,nao,,,
JANNAINA VAZ COSTA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-12-05,2024,nomeacao,JANNAINA VAZ COSTA,JANNAINA VAZ COSTA,sim,JANNAINA VAZ COSTA:MISC|Jannaina Vaz Costa:PER,para exercer o cargo em comis￾são de Ajudante II,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWtWT1FrOUVRa05OYWtGMFRXcFdRMUZUTURCTmVrRXdURlZKTlU1RVozUlBWR016VFhwQ1JrMTZTWGRPUkZwSFRWUmpNMDU2VlhoUFJGazFUbWM5UFE9PQ==,LAKE\RJ\2024\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-12-05.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,333,,,,,,nao,,,,,,,,,
JANNAINA VAZ COSTA,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2026-03-11,2026,exoneracao,JANNAINA VAZ COSTA,JANNAINA VAZ COSTA,sim,JANNAINA VAZ COSTA:MISC|Jannaina Vaz Costa:PER,do cargo em comissão de Ajudante II,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtSck1GRlZSa1pPVlUxMFRYcE5lRTU1TURCUmVra3dURlZHUkU0d1JYUk9WVlV4VGtSSk5FNXFVVEJPYWxaSFRWUmpNMDU2VlhkUFZHYzBUa0U5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-11.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2026.csv,2174,nomeacao,2024-12-05,para exercer o cargo em comis￾são de Ajudante II,,461,nao,,,,,,,,,
JANNE TEIXEIRA JUNIOR,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-10-06,2025,exoneracao,JANNE TEIXEIRA JUNIOR,JANNE TEIXEIRA JUNIOR,sim,JANNE TEIXEIRA JUNIOR:PER,do cargo em comissão de Assistente,do Departamento de Transportes Rodoviários do Estado do Rio de Janeiro - DETRO/RJ,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVhwR1JWRlVXVEJPZWtsMFRXdFplVTE1TURCUk1GcEhURlJuTVZKRVVYUk5ha3BEVFhwRk5WSnFTVEZOYTFrMVRWUmpNMDU2VlhoT1JFRjRUVUU5UFE9PQ==,LAKE\RJ\2025\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-10-06.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,2250,,,,,,nao,,,,,,,,,
JANYCE VILLELA NASCIMENTO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-07-03,2025,nomeacao,JANYCE VILLELA NASCIMENTO,JANYCE VILLELA NASCIMENTO,sim,VILLELA NASCIMENTO:PER,para exercer o cargo em comissão de Chefe de Equipe Técnica,do Departamento Médico,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVdwSk0xRXdXVFZPYTAxMFRsUmtSVTlUTURCUFZGRXlURlZLUWxGVVkzUk9WVkV3VDFWSk1rNVVWa1ZQUlZrd1RWUmpNMDU2VlhoT1ZFMTRUMEU5UFE9PQ==,LAKE\RJ\2025\07\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-07-03.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,4976,,,,,,nao,,,,,,,,,
JAQUELINE ALVES DA SILVA DO NASCIMENTO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-10-11,2024,nomeacao,JAQUELINE ALVES DA SILVA DO NASCIMENTO,JAQUELINE ALVES DA SILVA DO NASCIMENTO,sim,JAQUELINE ALVES DA SILVA DO NASCIMENTO:MISC|Jaqueline Alves Da Silva Do Nascimento:PER,para exercer o cargo em comissão de Assistente II,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGxSQ1JWSnJXVEZTVkZsMFRWUmFSVTVwTURCT1JVMDFURlZGTUU1clRYUk9WRUpDVDFSU1IwOVVRa2RTUlZGNVRWUmpNMDU2VlhoUFJHY3hUMEU5UFE9PQ==,LAKE\RJ\2024\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-10-11.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,1658,,,,,,nao,,,,,,,,,
JAQUELINE AZEVEDO DE AQUINO,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-10-17,2025,nomeacao,JAQUELINE AZEVEDO DE AQUINO,JAQUELINE AZEVEDO DE AQUINO,sim,JAQUELINE AZEVEDO DE AQUINO:MISC|Jaqueline Azevedo De Aquino:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVdwcmVWSkZXa2RQUkdOMFVXcFpOVkpUTURCT1ZGRXpURlZLUTFGclJYUlBWVVpEVWtSQk5FNXFWa2RTUlZWNFRWUmpNMDU2VlhoTmVtTXpUa0U5UFE9PQ==,LAKE\RJ\2025\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-10-17.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,1667,,,,,,nao,,,,,,,,,
JAQUELINE COIMBRA NOGUEIRA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-08-28,2025,nomeacao,JAQUELINE COIMBRA NOGUEIRA,JAQUELINE COIMBRA NOGUEIRA,sim,JAQUELINE COIMBRA:MISC|Jaqueline Coimbra:PER,para exercer o cargo em comissão de Assistente II,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwVmVVNXJVa1ZSZWtGMFRsUlZOVTE1TURCUk1FbDNURlJuZWswd1JYUk5lbU13VVhwUk0wNTZXa1JTUlZwRVRWUmpNMDU2VlhoT1JGbDNUV2M5UFE9PQ==,LAKE\RJ\2025\08\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-08-28.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,3566,,,,,,nao,,,,,,,,,
JAQUELINE CONCEICAO DA SILVA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-10-02,2025,exoneracao,JAQUELINE CONCEIÇÃO DA SILVA,JAQUELINE CONCEIÇÃO DA SILVA,sim,JAQUELINE CONCEIÇÃO DA SILVA:MISC|Jaqueline Conceição Da Silva:PER,do cargo em comissão de Assistente II,da Fundação Santa Cabrini - FSC,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGxSVk1FOUVhek5TUkdkMFRVUkZNRTFUTURCUmFrcEhURlJyTlU5VVFYUlNhMWt3VDFSSmVFMXFTWGxQUlU1Q1RWUmpNMDU2VlhoT1JFRXdUWGM5UFE9PQ==,LAKE\RJ\2025\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-10-02.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,2388,,,,,,nao,,,,,,,,,
JAQUELINE DA ROSA ROHAN,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2023-12-14,2023,nomeacao,JAQUELINE DA ROSA ROHAN,JAQUELINE DA ROSA ROHAN,sim,JAQUELINE:MISC|ROSA ROHAN:MISC|Jaqueline Da Rosa Rohan:PER,,da Superintendência de Gestão das Regionais Administrativas,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWtSSk1GSkVTWGhOUkd0MFVsUm5lVkpwTURCUFZVVTFURlJzUTFKVVozUk9WVkY2VFZSR1FsRlVRa1ZTUlUxM1RWUmpNMDU2VlRCT2FtY3hUWGM5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2023\12\DOERJ_PARTE_I_PODER_EXECUTIVO_2023-12-14.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2023.csv,307,,,,,,nao,,,,,,,,,
JAQUELINE DA SILVA DOMINGUES SOARES,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-01-10,2024,nomeacao,JAQUELINE DA SILVA DOMINGUES SOARES,JAQUELINE DA SILVA DOMINGUES SOARES,sim,JAQUELINE DA SILVA:MISC|Jaqueline Da Silva Domingues Soares:PER,,da Fundação Leão XIII,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVhwbmVsSkVUVFZQUkZsMFRXdEtSVTFwTURCTlZFWkNURlJzUlUxVlNYUk5SRXBFVFhwR1ExRXdTWGxSZW10M1RWUmpNMDU2VlRCT2FtTTBUa0U5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-01-10.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,8645,,,,,,nao,,,,,,,,,
JAQUELINE DA SILVA DOMINGUES SOARES,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-06-12,2024,exoneracao,JAQUELINE DA SILVA DOMINGUES SOARES,JAQUELINE DA SILVA DOMINGUES SOARES,sim,JAQUELINE DA SILVA:MISC|Jaqueline Da Silva Domingues Soares:PER,do cargo em comissão de Ajudante I,da Fundação Leão XIII,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG1wb1JrOUZTVFZSYWtsMFVXdEZlbEZUTURCU1ZFNURURlJyTTFKVlVYUk5hazEzVFZWV1JGSnFUa0pQVkdoRVRWUmpNMDU2VlhsTmFsRTBUV2M5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\06\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-06-12.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,4558,nomeacao,2024-01-10,,da Fundação Leão XIII,154,nao,,,,,,,,,
JAQUELINE DA SILVA NOGUEIRA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-09-23,2024,nomeacao,JAQUELINE DA SILVA NOGUEIRA,JAQUELINE DA SILVA NOGUEIRA,sim,JAQUELINE DA SILVA:MISC|NOGUEIRA:ORG|Jaqueline Da Silva Nogueira:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwT1EwNVZTWGxQUkd0MFVWUmplRTVwTURCU2FtaERURlZHUjAxVlZYUlNWRUUwVW1wak5WSnFhek5QUkU1SFRWUmpNMDU2VlhsTmFrVjZUMEU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\09\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-09-23.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,2000,,,,,,nao,,,,,,,,,
JAQUELINE DA SILVA TEIXEIRA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-09-11,2025,nomeacao,JAQUELINE DA SILVA TEIXEIRA,JAQUELINE DA SILVA TEIXEIRA,sim,JAQUELINE DA SILVA TEIXEIRA:MISC|Jaqueline Da Silva Teixeira:PER,para exercer o cargo em comissão de Secretário II,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWtWRmVWSnFVVEJPVkdkMFVXcE5NRTE1TURCU1ZFazBURlJzUms0d1NYUk9SVkY2VGxSRk1sRlZXa05OVkdkNFRWUmpNMDU2VlhoT1JFMDFUa0U5UFE9PQ==,LAKE\RJ\2025\09\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-09-11.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,3067,,,,,,nao,,,,,,,,,
JAQUELINE DE OLIVEIRA GUIMARAES,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-10-14,2025,nomeacao,JAQUELINE DE OLIVEIRA GUIMARÃES,JAQUELINE DE OLIVEIRA GUIMARÃES,sim,JAQUELINE:MISC|Jaqueline De Oliveira Guimarães:PER,para exercer o cargo em comissão de Assistente II,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFhwck1rNTZaRUpTUlUxMFQxUm9SVkpwTURCT01GVjVURlJuZVZKcVRYUk9la0pEVWxWU1JrMTZiRVZTVkUxM1RWUmpNMDU2VlhoTmVtY3hUa0U5UFE9PQ==,LAKE\RJ\2025\10\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-10-14.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,1830,,,,,,nao,,,,,,,,,
JAQUELINE DOS SANTOS DIAS,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2024-01-02,2024,nomeacao,JAQUELINE DOS SANTOS DIAS,JAQUELINE DOS SANTOS DIAS,sim,JAQUELINE DOS SANTOS DIAS:MISC|Jaqueline Dos Santos Dias:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFZSR1JWSkZTWGhPUkZGMFVtdFdRazVETURCUk1FVXpURlJvUlZKcWEzUlBSR2MwVFd0Vk1FNUZVa1JTVkdSRVRWUmpNMDU2VlRCT2FtZDNUMUU5UFE9PQ==,D:\github\exoneracoes_nomeacoes_dou\LAKE\RJ\2024\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2024-01-02.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2024.csv,8941,,,,,,nao,,,,,,,,,
JAQUELINE FERNANDES DA SILVA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-07-25,2025,exoneracao,JAQUELINE FERNANDES DA SILVA,JAQUELINE FERNANDES DA SILVA,sim,JAQUELINE FERNANDES DA SILVA:MISC|Jaqueline Fernandes Da Silva:PER,do cargo em comissão de Ajudante I,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVhwSmVFOUZSa05PYTFsMFRqQlpOVkY1TURCT2VtZDVURlJvUWs1cVdYUlNha2swVVRCRk5FNHdUWGhOUkVrMFRWUmpNMDU2VlhoT1ZFRXlUVkU5UFE9PQ==,LAKE\RJ\2025\07\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-07-25.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,4514,,,,,,nao,,,,,,,,,
JAQUELINE FERNANDES DA SILVA,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-07-25,2025,nomeacao,JAQUELINE FERNANDES DA SILVA,JAQUELINE FERNANDES DA SILVA,sim,JAQUELINE FERNANDES DA SILVA:MISC|Jaqueline Fernandes Da Silva:PER,,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVhwSmVFOUZSa05PYTFsMFRqQlpOVkY1TURCT2VtZDVURlJvUWs1cVdYUlNha2swVVRCRk5FNHdUWGhOUkVrMFRWUmpNMDU2VlhoT1ZFRXlUVkU5UFE9PQ==,LAKE\RJ\2025\07\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-07-25.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,4518,exoneracao,2025-07-25,do cargo em comissão de Ajudante I,,0,sim,2025-07-25,do cargo em comissão de Ajudante I,,0,nao,nao,,,
JAQUELINE FERNANDES DA SILVA,3,RJ,Diario Oficial do Estado do Rio de Janeiro,2026-04-28,2026,exoneracao,JAQUELINE FERNANDES DA SILVA,JAQUELINE FERNANDES DA SILVA,sim,JAQUELINE FERNANDES DA SILVA:MISC|Jaqueline Fernandes Da Silva:PER,do cargo em comissão de Ajudante I,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtSYVFrMXJTWGRQUlZsMFVXcGpNRTVwTURCU1ZFVjNURlJzUkU5VVVYUlJlbGt5VDBSS1ExSnFXWHBOYWxWNlRWUmpNMDU2VlhkT2FsbDNUMUU5UFE9PQ==,LAKE\RJ\2026\04\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-04-28.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2026.csv,239,nomeacao,2025-07-25,,,277,nao,,,,,,,,,
JAQUELINE FONSECA SOUSA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-11-27,2025,nomeacao,JAQUELINE FONSECA SOUSA,JAQUELINE FONSECA SOUSA,sim,JAQUELINE:MISC|Jaqueline Fonseca Sousa:PER,para exercer o cargo em comissão de Chefe de Núcleo,da Fundação Leão XIII,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGpCT1JWSnFRa2RPYTFsMFQxUkZNbEpETURCTlJGa3dURlJzUTA5RlRYUk9hbVJIVDFWVk0wMHdSVEpPUkZsNlRWUmpNMDU2VlhoTmVra3dUbEU5UFE9PQ==,LAKE\RJ\2025\11\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-11-27.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,637,,,,,,nao,,,,,,,,,
JAQUELINE GOMES MOSTACADA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-08-04,2025,nomeacao,JAQUELINE GOMES MOSTACADA,JAQUELINE GOMES MOSTACADA,sim,JAQUELINE GOMES MOSTACADA:MISC|Jaqueline Gomes Mostacada:PER,para exercer o cargo em comissão de Assistente II,da Subsecretaria Jurí- dica,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGxSbk0xRjZhRWRPUlZWMFVXcFJNazVUTURCUmVtZDVURlZGTlZKcVNYUk9SRkV5VFZSTmQwNTZSa0pOYWxKRFRWUmpNMDU2VlhoT1JHc3dUWGM5UFE9PQ==,LAKE\RJ\2025\08\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-08-04.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,4251,,,,,,nao,,,,,,,,,
JAQUELINE HOMEN DE SOUZA,1,RJ,Diario Oficial do Estado do Rio de Janeiro,2025-02-05,2025,nomeacao,JAQUELINE HOMEN DE SOUZA,JAQUELINE HOMEN DE SOUZA,sim,JAQUELINE HOMEN DE SOUZA:MISC|Jaqueline Homen De Souza:PER,da Chefia de Gabinete,do Gabinete do Secretário,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDBSck5VOUZWWGRSYTFGMFRsVkZkMDVUTURCTlZGRjNURlZHUms1cVkzUlBSVlUxVFZWSk0wNUVWa05OUkU1R1RWUmpNMDU2VlhoT2VrVTBUbWM5UFE9PQ==,LAKE\RJ\2025\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-02-05.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2025.csv,8565,,,,,,nao,,,,,,,,,
JAQUELINE HOMEN DE SOUZA,2,RJ,Diario Oficial do Estado do Rio de Janeiro,2026-03-18,2026,exoneracao,JAQUELINE HOMEN DE SOUZA,JAQUELINE HOMEN DE SOUZA,sim,JAQUELINE HOMEN DE SOUZA:MISC|Jaqueline Homen De Souza:PER,do cargo em comissão de Assistente,,Parte I (Poder Executivo),https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFSV1JsSlVUVEpSYWxGMFVrVkdSazVETURCUFJFNUNURlJyZVZGNlJYUlJhbXMwVW10V1FsRlZUVEpOZWswelRWUmpNMDU2VlhkUFZFMDFUMUU5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-18.md,D:\github\exoneracoes_nomeacoes_dou\saida\RJ\DOERJ_2026.csv,1890,nomeacao,2025-02-05,da Chefia de Gabinete,do Gabinete do Secretário,406,nao,,,,,,,,,
