nome_normalizado,nome_exemplo,total_atos,total_nomeacoes,total_exoneracoes,total_retornos_apos_exoneracao,primeira_data,ultima_data,cargos_distintos,orgaos_distintos,teve_nomeacao_e_exoneracao,teve_retorno_apos_exoneracao
JOSY DA SILVA MACIEL,JOSY DA SILVA MACIEL,2,1,1,0,2021-07-26,2023-04-18,1,2,sim,nao
JOSY SILVA LOPES,JOSY SILVA LOPES,3,2,1,2,2021-03-23,2023-08-07,1,0,sim,sim
JOTA DE SOUZA TOMAZ,JOTA DE SOUZA TOMAZ,1,0,1,0,2021-02-05,2021-02-05,1,1,nao,nao
JOTTA RAPHAEL LOPES DAMIANI,JOTTA RAPHAEL LOPES DAMIANI,1,0,1,0,2026-04-17,2026-04-17,1,0,nao,nao
JOTTA RAPHAEL LOPES DAMIAO,JOTTA RAPHAEL LOPES DAMIAO,1,1,0,0,2026-02-03,2026-02-03,1,0,nao,nao
JOUBERT FONSECA DA SILVA,JOUBERT FONSECA DA SILVA,1,0,1,0,2021-06-24,2021-06-24,1,1,nao,nao
JOVENIR PONTES DE SIQUEIRA JUNIOR,JOVENIR PONTES DE SIQUEIRA JUNIOR,2,1,1,0,2021-02-25,2021-08-13,2,1,sim,nao
JOYCE CABRAL FERREIRA,JOYCE CABRAL FERREIRA,1,0,1,0,2021-07-07,2021-07-07,1,1,nao,nao
JOYCE CORREA ROMA SANTOS,JOYCE CORREA ROMA SANTOS,1,0,1,0,2020-11-06,2020-11-06,1,1,nao,nao
JOYCE DA SILVA SOARES,JOYCE DA SILVA SOARES,1,1,0,0,2025-08-21,2025-08-21,0,1,nao,nao
JOYCE DE ABREU PIMENTA SANTOS,JOYCE DE ABREU PIMENTA SANTOS,3,2,1,2,2022-07-01,2023-01-11,2,1,sim,sim
JOYCE DE AGUIAR OLIVEIRA,JOYCE DE AGUIAR OLIVEIRA,2,1,1,0,2022-11-18,2026-04-17,1,0,sim,nao
JOYCE DE ALCANTARA RAMALHEDA,JOYCE DE ALCANTARA RAMALHEDA,5,3,2,2,2020-12-10,2024-01-02,2,1,sim,sim
JOYCE DE OLIVEIRA REGO,JOYCE DE OLIVEIRA REGO,2,1,1,0,2023-08-03,2025-02-03,1,0,sim,nao
JOYCE DOS SANTOS PORTELLA MARANGA,JOYCE DOS SANTOS PORTELLA MARANGA,3,2,1,1,2025-05-09,2025-11-19,1,1,sim,sim
JOYCE FERREIRA DA SILVA,JOYCE FERREIRA DA SILVA,1,1,0,0,2022-09-14,2022-09-14,1,1,nao,nao
JOYCE FIRMINO RODRIGUES MARQUES,JOYCE FIRMINO RODRIGUES MARQUES,2,1,1,0,2023-11-09,2024-08-01,1,0,sim,nao
JOYCE LESSA DA SILVA CASTRO,JOYCE LESSA DA SILVA CASTRO,1,1,0,0,2023-03-22,2023-03-22,0,0,nao,nao
JOYCE MAGALHAES DA ROCHA MACEDO,JOYCE MAGALHÃES DA ROCHA MACEDO,2,1,1,0,2025-01-14,2026-05-06,1,2,sim,nao
JOYCE MARIA SANTOS,JOYCE MARIA SANTOS,2,2,0,0,2023-07-26,2024-01-08,1,1,nao,nao
JOYCE MARINS DA CO S TA,JOYCE MARINS DA CO S TA,1,0,1,0,2023-04-18,2023-04-18,1,1,nao,nao
JOYCE MARINS DA COSTA,JOYCE MARINS DA COSTA,6,3,3,3,2021-06-10,2026-03-02,3,2,sim,sim
JOYCE MAYARA DA SILVA FONSECA LUCAS,JOYCE MAYARA DA SILVA FONSECA LUCAS,1,1,0,0,2024-11-25,2024-11-25,0,1,nao,nao
JOYCE MELLO FRANKLIN,JOYCE MELLO FRANKLIN,1,0,1,0,2023-05-16,2023-05-16,1,1,nao,nao
JOYCE MONTEIRO PIMENTEL,JOYCE MONTEIRO PIMENTEL,3,2,1,1,2021-01-08,2023-07-10,2,2,sim,sim
JOYCE MORAES PAIVA RIBEIRO,JOYCE MORAES PAIVA RIBEIRO,1,0,1,0,2024-05-09,2024-05-09,1,0,nao,nao
JOYCE MORAES VIANNA CAMARA,JOYCE MORAES VIANNA CÂMARA,1,0,1,0,2021-11-23,2021-11-23,1,1,nao,nao
JOYCE NAYARA ROCHA FERREIRA MONTEIRO,JOYCE NAYARA ROCHA FERREIRA MONTEIRO,1,0,1,0,2021-03-09,2021-03-09,1,1,nao,nao
JOYCE PEIXOTO DE ARAUJO,JOYCE PEIXOTO DE ARAUJO,1,0,1,0,2020-11-10,2020-11-10,1,1,nao,nao
JOYCE QUIRINO NUNES DA MOTA,JOYCE QUIRINO NUNES DA MOTA,1,1,0,0,2026-02-03,2026-02-03,0,0,nao,nao
JOYCE RAMOS,JOYCE RAMOS,1,1,0,0,2021-12-27,2021-12-27,1,1,nao,nao
JOYCE RAMOS DA SILVA,JOYCE RAMOS DA SILVA,1,0,1,0,2024-01-23,2024-01-23,1,1,nao,nao
JOYCE SILVA CAMPOS,JOYCE SILVA CAMPOS,1,0,1,0,2022-02-09,2022-02-09,1,1,nao,nao
JOYCE TAVARES SANTOS TRILHO,JOYCE TAVARES SANTOS TRILHO,2,1,1,0,2023-03-14,2023-04-11,1,1,sim,nao
JOYCE VALENTE DE MEDEIROS,JOYCE VALENTE DE MEDEIROS,1,1,0,0,2023-04-03,2023-04-03,0,0,nao,nao
JOYCE VITORIA DOS SANTOS SOARES,JOYCE VITORIA DOS SANTOS SOARES,1,0,1,0,2023-03-13,2023-03-13,1,0,nao,nao
JOYCE VITORIA MATTOS DA SILVA,JOYCE VITÓRIA MATTOS DA SILVA,1,1,0,0,2023-11-22,2023-11-22,0,0,nao,nao
JOYCEMILLE ROCHA DE OLIVEIRA,JOYCEMILLE ROCHA DE OLIVEIRA,1,0,1,0,2021-01-14,2021-01-14,1,1,nao,nao
JOZEMAR CORREA DE LIMA,JOZEMAR CORREA DE LIMA,1,1,0,0,2021-08-06,2021-08-06,1,0,nao,nao
JOZIANE BARBOSA,JOZIANE BARBOSA,1,1,0,0,2023-08-11,2023-08-11,1,1,nao,nao
JOZIEL RODRIGUES PEDROZA,JOZIEL RODRIGUES PEDROZA,1,1,0,0,2026-02-12,2026-02-12,1,0,nao,nao
JOZIR LOPES DE ANDRADE,JOZIR LOPES DE ANDRADE,1,0,1,0,2021-11-11,2021-11-11,1,0,nao,nao
JUAN ARTHUR LEOCADIO,JUAN ARTHUR LEOCADIO,3,2,1,1,2023-11-06,2024-08-12,1,1,sim,sim
JUAN CANDIDO FLORENCIO DA SILVA,JUAN CANDIDO FLORENCIO DA SILVA,3,1,2,1,2024-01-04,2025-01-09,2,1,sim,sim
JUAN CARLO RIBEIRO DE OLIVEIRA,JUAN CARLO RIBEIRO DE OLIVEIRA,3,1,2,0,2021-09-15,2025-06-18,2,1,sim,nao
JUAN CARLOS COUDIN,JUAN CARLOS COUDIN,1,0,1,0,2023-03-01,2023-03-01,1,1,nao,nao
JUAN CARLOS DA SILVA RODRIGUES,JUAN CARLOS DA SILVA RODRIGUES,1,0,1,0,2023-08-30,2023-08-30,1,0,nao,nao
JUAN CARLOS FERREIRA GERMANO DA SILVA,JUAN CARLOS FERREIRA GERMANO DA SILVA,1,1,0,0,2025-03-28,2025-03-28,0,0,nao,nao
JUAN CARLOS FIDELIX FERNANDES,JUAN CARLOS FIDELIX FERNANDES,1,1,0,0,2024-02-07,2024-02-07,0,0,nao,nao
JUAN CARLOS POZES DA CRUZ,JUAN CARLOS POZES DA CRUZ,1,1,0,0,2021-04-21,2021-04-21,0,1,nao,nao
JUAN DA RESSUREICAO SERAPHIN,JUAN DA RESSUREIÇÃO SERAPHIN,1,0,1,0,2022-03-04,2022-03-04,1,0,nao,nao
JUAN DIAS,JUAN DIAS,1,0,1,0,2021-12-08,2021-12-08,1,0,nao,nao
JUAN FELIPE DA SILVA SANT'ANA,JUAN FELIPE DA SILVA SANT'ANA,1,1,0,0,2023-08-01,2023-08-01,1,0,nao,nao
JUAN FERNANDES SOUZA DE ARAUJO,JUAN FERNANDES SOUZA DE ARAUJO,1,1,0,0,2025-10-13,2025-10-13,1,1,nao,nao
JUAN FERREIRA DA SILVA,JUAN FERREIRA DA SILVA,1,1,0,0,2021-05-04,2021-05-04,1,1,nao,nao
JUAN GARCIA NEVES,JUAN GARCIA NEVES,1,0,1,0,2020-11-26,2020-11-26,1,1,nao,nao
JUAN JULIAN DOS SANTOS,JUAN JULIAN DOS SANTOS,1,1,0,0,2025-09-16,2025-09-16,1,1,nao,nao
JUAN LUCAS DA SILVEIRA BASTOS,JUAN LUCAS DA SILVEIRA BASTOS,1,1,0,0,2025-10-22,2025-10-22,1,1,nao,nao
JUAN MOURAO PINHEIRO,JUAN MOURÃO PINHEIRO,1,0,1,0,2023-10-19,2023-10-19,1,1,nao,nao
JUAN OLIVEIRA GROPPO,JUAN OLIVEIRA GROPPO,1,0,1,0,2021-07-01,2021-07-01,1,1,nao,nao
JUAN PABLO DA SILVA ALMEIDA,JUAN PABLO DA SILVA ALMEIDA,3,2,1,1,2025-09-09,2025-11-03,1,2,sim,sim
JUAN PABLO DE SOUZA CARAVALHO,JUAN PABLO DE SOUZA CARAVALHO,1,1,0,0,2026-03-24,2026-03-24,1,0,nao,nao
JUAN PABLO DE SOUZA CARVALHO,JUAN PABLO DE SOUZA CARVALHO,1,0,1,0,2026-04-09,2026-04-09,1,0,nao,nao
JUAN PABLO GARRIDO FERNANDES,JUAN PABLO GARRIDO FERNANDES,1,0,1,0,2024-09-17,2024-09-17,1,0,nao,nao
JUAN PABLO MONTEIRO ALVES,JUAN PABLO MONTEIRO ALVES,1,1,0,0,2026-01-15,2026-01-15,0,1,nao,nao
JUAN PABLO TOBICH DUARTE DE OLIVEIRA,JUAN PABLO TOBICH DUARTE DE OLIVEIRA,1,1,0,0,2025-10-21,2025-10-21,0,1,nao,nao
JUAN PHELIPE,JUAN PHELIPE,1,1,0,0,2021-09-10,2021-09-10,0,1,nao,nao
JUAN PHELIPE DA MATTA REIS,JUAN PHELIPE DA MATTA REIS,1,0,1,0,2024-03-27,2024-03-27,1,1,nao,nao
JUAN PINHEIRO CONCEICAO,JUAN PINHEIRO CONCEICAO,1,1,0,0,2025-12-10,2025-12-10,1,1,nao,nao
JUAN ROCHA DOS SANTOS,JUAN ROCHA DOS SANTOS,15,8,7,8,2021-03-11,2026-01-12,7,4,sim,sim
JUAN SCASSA GERMANO DOS SANTOS,JUAN SCASSA GERMANO DOS SANTOS,1,0,1,0,2021-10-05,2021-10-05,1,1,nao,nao
JUAN SOARES MAGALHAES DA SILVA,JUAN SOARES MAGALHÃES DA SILVA,1,1,0,0,2025-05-23,2025-05-23,0,0,nao,nao
JUAN TEIXEIRA ABREU VASCONCELLOS,JUAN TEIXEIRA ABREU VASCONCELLOS,1,1,0,0,2021-03-01,2021-03-01,1,1,nao,nao
JUAN VILLA NOVA PINTO RIBEIRO,JUAN VILLA NOVA PINTO RIBEIRO,1,1,0,0,2023-12-29,2023-12-29,0,1,nao,nao
JUAN VINICIUS DE SANT'ANNA,JUAN VINÍCIUS DE SANT'ANNA,1,1,0,0,2023-01-30,2023-01-30,0,0,nao,nao
JUBSON PEREIRA DOS SANTOS,JUBSON PEREIRA DOS SANTOS,2,1,1,0,2025-01-16,2025-04-03,2,1,sim,nao
JUCELINE BARBOSA GUIMARAES,JUCELINE BARBOSA GUIMARÃES,1,1,0,0,2023-05-18,2023-05-18,1,1,nao,nao
JUCELINO PESSOA DE CARVALHO,JUCELINO PESSOA DE CARVALHO,1,0,1,0,2023-03-22,2023-03-22,1,0,nao,nao
JUCELIO OLIVEIRA DE SOUZA,JUCELIO OLIVEIRA DE SOUZA,1,0,1,0,2023-10-09,2023-10-09,1,1,nao,nao
JUCELITO BERNARDES,JUCELITO BERNARDES,1,1,0,0,2026-03-20,2026-03-20,0,0,nao,nao
JUCIA GOMES DE S FIGUEIREDO,JUCIA GOMES DE S FIGUEIREDO,1,0,1,0,2026-04-15,2026-04-15,1,1,nao,nao
JUCIA GOMES DE SOUZA FIGUEIREDO,JUCIA GOMES DE SOUZA FIGUEIREDO,4,2,2,2,2024-02-05,2025-03-13,3,1,sim,sim
JUCIANE DIAS CURVELO,JUCIANE DIAS CURVELO,2,1,1,0,2026-03-24,2026-04-14,2,2,sim,nao
JUCILAINE PEREIRA PERNI,JUCILAINE PEREIRA PERNI,3,1,2,0,2023-04-19,2025-02-14,1,1,sim,nao
JUCILAN SIQUEIRA DA SILVA,JUCILAN SIQUEIRA DA SILVA,1,0,1,0,2024-01-17,2024-01-17,1,1,nao,nao
JUCILANE DE SOUZA DO NASCIMENTO DE OLIVEIRA,JUCILANE DE SOUZA DO NASCIMENTO DE OLIVEIRA,1,1,0,0,2025-08-07,2025-08-07,1,1,nao,nao
JUCILEIA LOURENCO SOARES,JUCILEIA LOURENCO SOARES,3,2,1,1,2024-08-05,2025-06-27,3,2,sim,sim
JUCILENE MURCE DA SILVA,JUCILENE MURCE DA SILVA,2,1,1,0,2026-02-06,2026-05-04,1,1,sim,nao
JUDERLAN DE AGUIAR AMORIM,JUDERLAN DE AGUIAR AMORIM,1,0,1,0,2022-04-25,2022-04-25,1,0,nao,nao
JUDISON BERNARDO DE SOUZA,JUDISON BERNARDO DE SOUZA,2,2,0,0,2022-04-11,2022-04-25,0,1,nao,nao
JUDITH ALMEIDA DE MELLO,JUDITH ALMEIDA DE MELLO,2,1,1,1,2023-06-07,2023-06-07,1,2,sim,sim
JULCIMARA FERREIRA MELO FIGUEIREDO,JULCIMARA FERREIRA MELO FIGUEIREDO,2,1,1,0,2021-06-21,2023-02-15,1,1,sim,nao
JULEINNE DANTAS SOARES,JULEINNE DANTAS SOARES,1,1,0,0,2025-10-22,2025-10-22,0,1,nao,nao
JULI SANTOS DIAS,JULI SANTOS DIAS,2,1,1,0,2022-02-17,2023-05-04,1,1,sim,nao
JULIA ALZIRA DA SILVA DOS SANTOS,JULIA ALZIRA DA SILVA DOS SANTOS,4,2,2,1,2021-06-01,2026-04-29,2,1,sim,sim
JULIA ANA RAMOS BARCELLOS,JULIA ANA RAMOS BARCELLOS,3,2,1,1,2024-04-04,2026-02-02,1,0,sim,sim
JULIA ANDRE ROMA,JULIA ANDRÉ ROMA,1,1,0,0,2024-05-10,2024-05-10,1,0,nao,nao
JULIA AZEVEDO FIGUEIREDO,JULIA AZEVEDO FIGUEIREDO,1,1,0,0,2025-12-01,2025-12-01,0,1,nao,nao
JULIA BARBOSA CAMPOS,JULIA BARBOSA CAMPOS,1,1,0,0,2022-09-06,2022-09-06,0,1,nao,nao
JULIA BARBOSA DE MELO SILVA,JÚLIA BARBOSA DE MELO SILVA,2,1,1,1,2025-10-27,2025-10-27,2,1,sim,sim
JULIA BARBOSA PESSOA,JULIA BARBOSA PESSOA,2,1,1,0,2022-08-03,2023-02-06,1,0,sim,nao
JULIA BARRETO PENA TEIXEIRA,JULIA BARRETO PENA TEIXEIRA,1,1,0,0,2025-07-01,2025-07-01,1,1,nao,nao
JULIA BENDER BARROS,JULIA BENDER BARROS,1,0,1,0,2022-04-27,2022-04-27,1,1,nao,nao
JULIA BRAGA ALEIXO,JULIA BRAGA ALEIXO,1,0,1,0,2021-05-04,2021-05-04,1,1,nao,nao
JULIA BRAND BRAGANTIN,JULIA BRAND BRAGANTIN,3,2,1,1,2024-06-04,2025-02-17,3,1,sim,sim
JULIA CAETANO NEVES MARCELINO,JULIA CAETANO NEVES MARCELINO,1,1,0,0,2025-08-11,2025-08-11,1,1,nao,nao
JULIA CAROLINA BARRETO SIDI QUERINO DE CARVALHO,JULIA CAROLINA BARRETO SIDI QUERINO DE CARVALHO,1,1,0,0,2026-01-30,2026-01-30,1,0,nao,nao
JULIA CASTOR FERNANDES PIRES,JULIA CASTOR FERNANDES PIRES,3,2,1,1,2025-02-04,2025-10-09,2,2,sim,sim
JULIA DA COSTA FERNANDES,JÚLIA DA COSTA FERNANDES,1,0,1,0,2022-10-17,2022-10-17,1,1,nao,nao
JULIA DA COSTA LOPES,JÚLIA DA COSTA LOPES,1,1,0,0,2024-03-04,2024-03-04,0,1,nao,nao
JULIA DA COSTA TELLES,JULIA DA COSTA TELLES,1,1,0,0,2023-10-30,2023-10-30,0,1,nao,nao
JULIA DA SILVA CARVALHO,JULIA DA SILVA CARVALHO,1,1,0,0,2024-03-08,2024-03-08,0,0,nao,nao
JULIA DA SILVA SOUZA,JULIA DA SILVA SOUZA,2,1,1,0,2022-06-01,2022-09-14,1,1,sim,nao
JULIA DAMAZIO MACHADO HILARIO,JULIA DAMAZIO MACHADO HILÁRIO,2,1,1,0,2022-11-24,2024-04-01,1,0,sim,nao
JULIA DE ALBUQUERQUE REIS E SILVA,JULIA DE ALBUQUERQUE REIS E SILVA,2,1,1,1,2021-01-21,2021-01-21,1,0,sim,sim
JULIA DE ARAUJO SOARES MOREIRA,JÚLIA DE ARAÚJO SOARES MOREIRA,3,2,1,1,2024-08-27,2025-10-24,3,2,sim,sim
JULIA DE ARRUDA FIGUEREDO,JULIA DE ARRUDA FIGUEREDO,2,1,1,1,2022-02-03,2022-02-03,2,1,sim,sim
JULIA DE ASSIS FERREIRA,JULIA DE ASSIS FERREIRA,1,1,0,0,2021-12-29,2021-12-29,1,1,nao,nao
JULIA DE CARVALHO GIMENES,JULIA DE CARVALHO GIMENES,1,1,0,0,2025-08-08,2025-08-08,1,1,nao,nao
JULIA DE CASTRO ALEIXO,JULIA DE CASTRO ALEIXO,1,0,1,0,2021-06-09,2021-06-09,1,1,nao,nao
JULIA DE MELLO CARVALHO DA SILVEIRA SANTANA,JULIA DE MELLO CARVALHO DA SILVEIRA SANTANA,3,1,2,1,2021-07-02,2026-03-12,3,2,sim,sim
JULIA DE MORAES MELLO,JULIA DE MORAES MELLO,2,1,1,0,2024-06-25,2024-12-05,2,1,sim,nao
JULIA DE OLIVEIRA JORDAO,JULIA DE OLIVEIRA JORDÃO,1,1,0,0,2021-11-11,2021-11-11,1,1,nao,nao
JULIA DOS SANTOS GUIMARAES,JULIA DOS SANTOS GUIMARÃES,2,1,1,0,2023-10-04,2025-05-06,2,1,sim,nao
JULIA DOS SANTOS RODRIGUES,JULIA DOS SANTOS RODRIGUES,1,1,0,0,2025-01-09,2025-01-09,1,1,nao,nao
JULIA DOS SANTOS VIZEU SOARES,JULIA DOS SANTOS VIZEU SOARES,2,1,1,0,2024-04-09,2024-05-03,1,0,sim,nao
JULIA FAJARDO BARRETO,JULIA FAJARDO BARRETO,1,1,0,0,2021-01-15,2021-01-15,0,1,nao,nao
JULIA FERNANDES SIMOES,JULIA FERNANDES SIMÕES,3,1,2,1,2023-08-03,2024-10-11,2,2,sim,sim
JULIA FERREIRA COELHO PEREIRA,JÚLIA FERREIRA COELHO PEREIRA,1,1,0,0,2026-03-16,2026-03-16,1,0,nao,nao
JULIA FERREIRA DE ALBUQUERQUE,JÚLIA FERREIRA DE ALBUQUERQUE,1,1,0,0,2024-02-15,2024-02-15,1,0,nao,nao
JULIA GABRIELE DA SILVA BARBOZA,JULIA GABRIELE DA SILVA BARBOZA,1,1,0,0,2023-07-06,2023-07-06,1,0,nao,nao
JULIA GABRIELLE FERREIRA DA SILVA,JULIA GABRIELLE FERREIRA DA SILVA,1,1,0,0,2025-09-12,2025-09-12,1,1,nao,nao
JULIA GOMES DE LIMA,JULIA GOMES DE LIMA,1,1,0,0,2023-01-16,2023-01-16,0,0,nao,nao
JULIA GOMIDE ASSAF DE MELLO,JULIA GOMIDE ASSAF DE MELLO,2,1,1,0,2025-02-12,2025-11-03,1,0,sim,nao
JULIA GONCALVES DIAS,JÚLIA GONÇALVES DIAS,1,0,1,0,2023-03-20,2023-03-20,1,0,nao,nao
JULIA GONCALVES PEREIRA,JULIA GONCALVES PEREIRA,1,1,0,0,2026-03-18,2026-03-18,1,1,nao,nao
JULIA HAUAJI MOTA DE OLIVEIRA,JULIA HAUAJI MOTA DE OLIVEIRA,1,0,1,0,2021-01-15,2021-01-15,1,0,nao,nao
JULIA KISHIDA BOCHNER,JULIA KISHIDA BOCHNER,8,5,3,4,2021-12-28,2026-05-05,7,4,sim,sim
JULIA KLEM SEMEDO,JULIA KLEM SEMEDO,2,1,1,0,2024-02-07,2024-08-05,1,2,sim,nao
JULIA KRONEMBERGER MENDONCA BENITEZ,JÚLIA KRONEMBERGER MENDONÇA BENITEZ,3,1,2,1,2023-01-19,2023-10-31,1,1,sim,sim
JULIA LAMAZARES ALMEIDA,JULIA LAMAZARES ALMEIDA,1,1,0,0,2026-02-19,2026-02-19,0,0,nao,nao
JULIA LIMA NUNES,JULIA LIMA NUNES,2,1,1,0,2023-06-06,2023-08-21,1,0,sim,nao
JULIA LOPES DE AZEVEDO OLIVEIRA,JULIA LOPES DE AZEVEDO OLIVEIRA,2,1,1,0,2023-08-30,2023-12-01,1,1,sim,nao
JULIA MACHADO DOS SANTOS,JÚLIA MACHADO DOS SANTOS,1,1,0,0,2024-08-26,2024-08-26,1,1,nao,nao
JULIA MARIA ALVES DE SOUZA,JULIA MARIA ALVES DE SOUZA,1,1,0,0,2026-02-20,2026-02-20,1,0,nao,nao
JULIA MARIA ALVES SOUZA,JULIA MARIA ALVES SOUZA,1,0,1,0,2026-04-28,2026-04-28,1,0,nao,nao
JULIA MARIA FERREIRA PERDIGAO,JULIA MARIA FERREIRA PERDIGÃO,3,2,1,1,2024-02-16,2024-03-05,3,1,sim,sim
JULIA MARIA GODINHO BARBOSA,JULIA MARIA GODINHO BARBOSA,3,1,2,1,2021-10-01,2026-03-18,2,1,sim,sim
JULIA MARQUES DELORMES,JULIA MARQUES DELORMES,1,1,0,0,2025-12-26,2025-12-26,1,0,nao,nao
JULIA MARTINS CERQUEIRA,JÚLIA MARTINS CERQUEIRA,2,1,1,0,2022-12-19,2023-08-07,1,0,sim,nao
JULIA MENDES MACHADO,JULIA MENDES MACHADO,1,0,1,0,2023-02-27,2023-02-27,1,1,nao,nao
JULIA MORAES DE OLIVEIRA,JÚLIA MORAES DE OLIVEIRA,6,3,3,3,2024-05-03,2026-03-20,5,4,sim,sim
JULIA MOULIN SOUTO,JULIA MOULIN SOUTO,2,1,1,0,2023-02-13,2025-12-08,1,0,sim,nao
JULIA OLIVEIRA DA ROCHA,JÚLIA OLIVEIRA DA ROCHA,2,1,1,0,2023-06-12,2025-12-03,2,2,sim,nao
JULIA PEREIRA ARAUJO,JULIA PEREIRA ARAÚJO,1,0,1,0,2025-09-09,2025-09-09,1,0,nao,nao
JULIA PEREIRA DE CARVALHO,JÚLIA PEREIRA DE CARVALHO,2,0,2,0,2023-03-13,2023-06-07,1,0,nao,nao
JULIA PEREIRA DE SOUZA SOARES,JULIA PEREIRA DE SOUZA SOARES,1,0,1,0,2020-11-18,2020-11-18,1,1,nao,nao
JULIA PEREIRA DOS SANTOS D AVILA,JULIA PEREIRA DOS SANTOS D´AVILA,1,1,0,0,2020-11-04,2020-11-04,0,0,nao,nao
JULIA PESSANHA SIQUEIRA,JULIA PESSANHA SIQUEIRA,2,1,1,0,2023-10-03,2025-04-09,2,2,sim,nao
JULIA PINHEIRO DE CARVALHO,JÚLIA PINHEIRO DE CARVALHO,1,1,0,0,2024-07-17,2024-07-17,1,1,nao,nao
JULIA RAFAELLA EDILENA BURTON FURTADO,JULIA RAFAELLA EDILENA BURTON FURTADO,1,1,0,0,2025-08-25,2025-08-25,1,1,nao,nao
JULIA RAMOS CASTELO BRANCO,JÚLIA RAMOS CASTELO BRANCO,1,0,1,0,2023-10-18,2023-10-18,1,0,nao,nao
JULIA RIBEIRO PIRES,JULIA RIBEIRO PIRES,1,1,0,0,2025-05-12,2025-05-12,1,1,nao,nao
JULIA ROMBALDI SOARES,JULIA ROMBALDI SOARES,2,2,0,0,2025-06-13,2026-03-13,1,0,nao,nao
JULIA ROSA COELHO TEIXEIRA,JULIA ROSA COELHO TEIXEIRA,5,2,3,2,2023-05-18,2024-03-12,4,2,sim,sim
JULIA SANT'ANNA EUGENIA,JULIA SANT'ANNA EUGÊNIA,4,2,2,2,2021-02-03,2023-01-16,2,2,sim,sim
JULIA SANTOS DA CRUZ,JULIA SANTOS DA CRUZ,1,1,0,0,2025-06-03,2025-06-03,1,1,nao,nao
JULIA SENA FERNANDES,JULIA SENA FERNANDES,2,1,1,0,2024-01-09,2024-11-08,1,0,sim,nao
JULIA SILVA DOS SANTOS,JULIA SILVA DOS SANTOS,2,1,1,0,2020-11-09,2025-03-10,1,0,sim,nao
JULIA SIMOES FERREIRA,JULIA SIMÕES FERREIRA,2,1,1,0,2021-05-20,2023-12-07,1,0,sim,nao
JULIA SOUZA DOS SANTOS,JÚLIA SOUZA DOS SANTOS,2,1,1,0,2024-07-08,2024-10-10,1,0,sim,nao
JULIA TEIXEIRA BARBOSA,JULIA TEIXEIRA BARBOSA,1,1,0,0,2023-04-27,2023-04-27,0,0,nao,nao
JULIA THAYLISE SOARES FREITAS,JULIA THAYLISE SOARES FREITAS,2,1,1,0,2023-06-22,2026-04-07,2,1,sim,nao
JULIA VICENTE MARTINS RIBEIRO,JÚLIA VICENTE MARTINS RIBEIRO,1,0,1,0,2021-04-08,2021-04-08,1,1,nao,nao
JULIA VIEIRA DE CASTRO,JULIA VIEIRA DE CASTRO,1,1,0,0,2026-01-14,2026-01-14,1,1,nao,nao
JULIA WAGNER PEREIRA,JULIA WAGNER PEREIRA,1,0,1,0,2021-06-07,2021-06-07,1,1,nao,nao
JULIA WILKE,JULIA WILKE,2,1,1,0,2021-01-11,2023-04-04,1,0,sim,nao
JULIA XIMENES SILVA,JULIA XIMENES SILVA,2,1,1,0,2023-05-25,2023-07-04,1,1,sim,nao
JULIAN COSTA DE ARAUJO,JULIAN COSTA DE ARAUJO,4,2,2,2,2021-10-15,2024-03-18,4,1,sim,sim
JULIAN VINICIUS DE ALBUQUERQUE REIS E SILVA,JULIAN VINICIUS DE ALBUQUERQUE REIS E SILVA,1,1,0,0,2021-07-01,2021-07-01,1,1,nao,nao
JULIANA ALBUQUERQUE DE PAULA,JULIANA ALBUQUERQUE DE PAULA,10,5,5,5,2022-09-01,2025-09-30,8,3,sim,sim
JULIANA ALMEIDA DE SOUSA,JULIANA ALMEIDA DE SOUSA,1,0,1,0,2025-04-10,2025-04-10,1,1,nao,nao
JULIANA ALMEIDA DE SOUZA,JULIANA ALMEIDA DE SOUZA,1,1,0,0,2020-12-16,2020-12-16,1,1,nao,nao
JULIANA ALVES ANTONY,JULIANA ALVES ANTONY,1,0,1,0,2025-08-21,2025-08-21,1,0,nao,nao
JULIANA ALVES DA SILVA,JULIANA ALVES DA SILVA,6,3,3,3,2021-02-19,2023-10-19,3,2,sim,sim
JULIANA ALVES DA SILVA RIBEIRO,JULIANA ALVES DA SILVA RIBEIRO,1,1,0,0,2025-01-14,2025-01-14,0,0,nao,nao
JULIANA ALVES DE ALMEIDA,JULIANA ALVES DE ALMEIDA,1,1,0,0,2025-08-04,2025-08-04,1,1,nao,nao
JULIANA ALVES PINHEIRO DELGADO FREIRE,JULIANA ALVES PINHEIRO DELGADO FREIRE,2,1,1,0,2024-05-02,2024-11-06,2,1,sim,nao
JULIANA BAPTISTA LANHAS,JULIANA BAPTISTA LANHAS,1,0,1,0,2022-03-04,2022-03-04,1,0,nao,nao
JULIANA BARBOSA DE SOUZA,JULIANA BARBOSA DE SOUZA,1,1,0,0,2021-08-09,2021-08-09,0,1,nao,nao
JULIANA BARRETO DE SANTANA,JULIANA BARRETO DE SANTANA,2,1,1,0,2025-11-05,2026-04-28,2,0,sim,nao
JULIANA BARROS DE MORAIS,JULIANA BARROS DE MORAIS,2,1,1,0,2025-09-04,2025-10-13,1,0,sim,nao
JULIANA BASTOS FRANCA DAVID,JULIANA BASTOS FRANÇA DAVID,3,2,1,0,2021-08-18,2025-10-01,3,2,sim,nao
